graph_idx,node_type,node_idx,method,sparsity_target,mask_baseline_mode,ig_baseline_mode,pred_orig,pred_drop,pred_keep,target,error_orig,error_drop,error_keep,fid_plus_model,fid_minus_model,fid_plus_error_delta,fid_minus_error_delta,n_features,k_features,actual_sparsity_feat,n_features_target,k_features_target
50,H,6,gnnexplainer,0.5,zero,scientific,-0.33054494857788086,-0.07401547580957413,-0.5347107648849487,-0.3011716902256012,0.029373258352279663,0.22715621441602707,0.23353907465934753,0.25652947276830673,0.20416581630706787,0.1977829560637474,0.20416581630706787,498,256,0.48594377510040165,33,17
50,H,6,integrated_gradients,0.5,zero,scientific,-0.33054494857788086,-0.13381662964820862,-0.321431428194046,-0.3011716902256012,0.029373258352279663,0.16735506057739258,0.020259737968444824,0.19672831892967224,0.009113520383834839,0.13798180222511292,-0.009113520383834839,498,256,0.48594377510040165,33,17
50,H,7,gnnexplainer,0.5,zero,scientific,-0.3257949948310852,-0.11002828180789948,-0.513354480266571,-0.362988144159317,0.03719314932823181,0.25295986235141754,0.15036633610725403,0.21576671302318573,0.18755948543548584,0.21576671302318573,0.11317318677902222,498,256,0.48594377510040165,33,17
50,H,7,integrated_gradients,0.5,zero,scientific,-0.3257949948310852,-0.13605812191963196,-0.3274518847465515,-0.362988144159317,0.03719314932823181,0.22693002223968506,0.0355362594127655,0.18973687291145325,0.0016568899154663086,0.18973687291145325,-0.0016568899154663086,498,256,0.48594377510040165,33,17
50,C,0,gnnexplainer,0.5,zero,scientific,-3.4731967449188232,-2.857456684112549,-4.699339389801025,-3.638505220413208,0.16530847549438477,0.7810485363006592,1.0608341693878174,0.6157400608062744,1.2261426448822021,0.6157400608062744,0.8955256938934326,498,256,0.48594377510040165,39,20
50,C,0,integrated_gradients,0.5,zero,scientific,-3.4731967449188232,-5.728161334991455,-3.0677711963653564,-3.638505220413208,0.16530847549438477,2.089656114578247,0.5707340240478516,2.254964590072632,0.4054255485534668,1.9243476390838623,0.4054255485534668,498,256,0.48594377510040165,39,20
50,C,3,gnnexplainer,0.5,zero,scientific,-12.352452278137207,-3.869253396987915,-14.638948440551758,-11.829119682312012,0.5233325958251953,7.959866285324097,2.809828758239746,8.483198881149292,2.286496162414551,7.436533689498901,2.286496162414551,498,256,0.48594377510040165,39,20
50,C,3,integrated_gradients,0.5,zero,scientific,-12.352452278137207,-4.961817741394043,-11.709147453308105,-11.829119682312012,0.5233325958251953,6.867301940917969,0.11997222900390625,7.390634536743164,0.6433048248291016,6.343969345092773,-0.40336036682128906,498,256,0.48594377510040165,39,20
